iter	Passed	Remaining
0	1	169
1	3	153
2	4	147
3	5	133
4	7	133
5	8	134
6	10	136
7	11	136
8	13	137
9	15	142
10	17	137
11	18	134
12	19	132
13	21	130
14	22	128
15	24	127
16	25	126
17	27	124
18	29	125
19	31	126
20	32	124
21	34	121
22	35	118
23	36	116
24	38	114
25	39	112
26	41	112
27	43	111
28	45	111
29	46	109
30	48	107
31	49	105
32	51	103
33	52	102
34	54	100
35	55	99
36	57	97
37	59	97
38	61	95
39	62	93
40	63	91
41	64	88
42	65	86
43	66	85
44	68	83
45	69	81
46	71	80
47	73	79
48	75	78
49	76	76
50	77	74
51	78	72
52	80	70
53	81	69
54	81	66
55	82	65
56	84	63
57	85	62
58	87	60
59	89	59
60	90	58
61	92	56
62	93	54
63	94	53
64	95	51
65	96	49
66	97	48
67	99	46
68	101	45
69	102	44
70	105	43
71	106	41
72	108	39
73	109	38
74	110	36
75	111	35
76	112	33
77	113	32
78	115	30
79	116	29
80	118	27
81	120	26
82	121	24
83	122	23
84	124	21
85	125	20
86	126	18
87	127	17
88	129	15
89	130	14
90	132	13
91	133	11
92	135	10
93	137	8
94	138	7
95	139	5
96	140	4
97	141	2
98	142	1
99	144	0
